customer_id,age,monthly_spend,orders_per_year,app_sessions_month,months_customer,satisfaction,support_tickets,churned
30056,36,62.2,17,12,44,9,0,0
30057,46,17.03,6,4,5,6,1,1
30058,24,41.17,11,9,22,8,1,0
30059,56,45.67,11,10,38,7,1,0
30060,18,21.59,5,1,18,5,1,1
30061,46,15.21,4,4,36,5,0,0
30062,42,17.43,1,4,41,7,1,0
30063,48,15.52,7,4,5,8,0,0
30064,21,88.82,19,14,27,6,0,1
30065,50,76.81,21,20,38,10,0,0
30066,18,86.28,18,22,4,7,0,0
30067,34,42.76,10,7,12,7,1,1
30068,29,10.69,9,4,24,7,1,1
30069,31,19.74,1,4,44,8,2,0
30070,26,18.94,4,4,27,10,0,0
30071,60,21.05,4,3,9,9,0,0
30072,36,30.18,9,9,45,9,3,0
30073,38,19.94,1,4,41,5,1,1
30074,57,22.24,2,4,4,8,2,0
30075,27,35.01,13,7,36,4,0,0
30076,51,79.86,16,15,37,9,1,0
30077,24,45.44,6,10,30,1,0,0
30078,35,87.38,11,18,8,8,0,0
30079,37,10.41,1,5,44,7,0,0
30080,48,87.49,16,20,39,5,2,1
30081,58,35.12,12,7,22,9,2,0
30082,59,18.6,2,6,29,8,1,0
30083,35,18.45,2,3,45,8,0,0
30084,44,12.86,3,5,43,8,0,0
30085,40,36.3,11,8,34,10,0,0
30086,33,64.75,15,23,26,6,1,0
30087,58,76.45,23,15,32,7,2,0
30088,51,81.52,17,13,29,8,2,0
30089,27,23.54,2,1,15,6,0,1
30090,18,80.29,30,23,43,6,1,0
30091,58,15.63,3,4,12,7,0,1
30092,40,45.88,8,12,45,7,0,0
30093,21,43.65,11,13,1,8,0,0
30094,39,24.85,5,1,26,8,1,0
30095,41,46.47,10,9,11,8,1,0
30096,52,14.45,4,2,11,6,3,1
30097,36,27.44,8,7,25,6,1,1
30098,34,39.64,15,6,39,9,3,0
30099,29,20.39,2,2,4,10,0,0
30100,25,32.18,18,6,6,8,0,1
30101,58,29.37,8,5,7,8,0,0
30102,35,44.5,11,6,6,6,2,1
30103,19,37.15,12,9,9,7,0,0
30104,37,89.68,23,19,27,10,1,0
30105,39,15.43,4,2,26,6,0,0
30106,48,40.59,14,8,44,7,1,0
30107,41,21.54,3,0,28,8,1,0
30108,32,14.21,2,4,40,8,1,0
30109,20,49.82,14,6,44,6,2,0
30110,23,22.02,4,5,11,10,0,0
30111,37,76.95,23,25,38,7,0,0
30112,43,84.81,20,22,32,9,0,0
30113,37,17.51,1,3,15,9,0,0
30114,48,43.06,12,9,36,8,0,0
30115,31,50.73,8,8,24,8,0,0
30116,47,83.15,21,15,47,9,1,0
30117,38,16.25,5,2,7,10,0,0
30118,31,22.47,5,2,19,7,0,0
30119,36,31.0,10,7,26,7,0,0
30120,38,45.38,17,10,37,7,3,1
30121,43,21.14,3,5,41,7,0,0
30122,31,62.76,26,19,18,10,1,0
30123,52,20.79,3,2,46,7,0,0
30124,36,13.49,8,4,7,7,1,1
30125,36,46.85,10,9,3,9,1,0
30126,31,18.94,5,1,11,6,2,1
30127,27,37.32,18,14,34,8,1,0
30128,40,88.57,21,19,8,9,0,0
30129,41,73.69,20,16,21,9,0,0
30130,42,11.63,4,3,5,6,0,0
30131,35,14.17,3,2,38,9,1,0
30132,26,83.19,16,10,16,7,0,0
30133,44,14.83,1,6,23,4,1,1
30134,39,18.0,5,2,41,9,0,0
30135,39,83.12,13,19,9,9,2,0
30136,43,19.75,3,6,35,5,0,0
30137,34,36.79,9,9,28,6,0,0
30138,47,44.87,10,5,5,6,0,0
30139,46,36.77,8,4,15,7,3,0
30140,53,36.98,17,3,18,7,0,1
30141,43,18.23,7,0,36,10,1,0
30142,41,43.18,12,5,39,10,1,0
30143,39,32.84,9,13,16,6,1,1
30144,19,47.54,10,13,41,7,1,0
30145,35,19.2,3,4,34,6,0,0
30146,38,37.17,11,10,32,6,1,1
30147,44,43.93,13,13,43,9,1,0
30148,23,22.93,6,1,28,7,0,0
30149,35,34.84,10,9,39,7,1,0
30150,39,38.0,8,13,47,5,0,0
30151,37,16.86,3,4,43,8,1,0
30152,23,75.11,23,18,39,8,0,0
30153,21,30.79,16,7,38,7,1,0
30154,41,40.71,10,8,20,7,1,0
30155,39,39.37,8,10,33,7,0,1
30156,40,39.11,6,4,31,9,2,0
30157,24,21.21,5,3,24,8,2,1
30158,40,18.57,8,7,5,9,1,0
30159,37,33.49,11,8,27,6,0,0
30160,31,39.73,12,9,17,6,1,0
30161,50,39.5,10,6,1,5,0,0
30162,28,39.62,6,9,39,5,1,0
30163,29,44.72,15,7,3,7,0,0
30164,30,33.52,11,9,3,10,0,0
30165,32,68.52,24,22,27,6,2,1
30166,31,16.43,4,2,3,3,0,1
30167,26,67.96,22,19,36,4,0,0
30168,40,23.06,5,1,41,7,0,0
30169,43,34.9,14,7,40,6,1,0
30170,18,69.98,24,13,46,9,0,0
30171,37,50.45,6,8,15,5,0,0
30172,30,20.54,5,1,8,8,1,0
30173,41,65.22,21,14,2,8,0,0
30174,65,87.68,24,18,42,7,2,0
30175,35,23.89,7,4,28,5,0,0
30176,31,7.93,1,4,11,6,0,1
30177,34,72.69,16,21,17,6,0,0
30178,28,84.51,24,17,12,4,0,1
30179,41,17.75,9,2,9,4,1,1
30180,27,47.56,9,9,13,8,2,0
30181,51,69.34,18,20,30,9,1,0
30182,51,44.46,6,12,28,7,0,0
30183,45,54.14,8,8,40,8,2,0
30184,49,39.89,12,5,3,8,1,1
30185,39,44.04,9,3,20,10,0,0
30186,31,39.05,12,15,41,8,1,0
30187,36,23.86,2,4,22,9,1,0
30188,44,22.23,7,4,37,6,0,0
30189,31,91.55,12,15,40,9,2,0
30190,35,17.89,2,2,36,9,1,0
30191,37,42.4,15,6,45,5,0,0
30192,47,18.56,6,1,20,7,0,0
30193,51,75.4,11,18,21,7,1,0
30194,32,17.67,4,1,25,7,0,1
30195,35,50.42,12,11,13,7,0,0
30196,27,41.5,7,7,47,8,2,0
30197,36,17.52,6,0,26,8,1,1
30198,28,87.02,18,20,10,8,1,0
30199,52,31.94,6,8,8,7,0,0
30200,39,34.54,16,5,34,6,0,0
30201,23,71.19,24,18,23,7,0,0
30202,50,43.0,12,10,16,7,0,0
30203,31,34.91,10,12,4,9,0,1
30204,41,84.7,19,16,22,7,0,0
30205,41,62.25,22,16,6,6,2,0
30206,32,81.35,17,15,35,10,1,0
30207,40,22.48,2,0,18,6,1,1
30208,49,18.55,4,1,24,10,0,0
30209,37,19.61,1,0,9,6,1,1
30210,63,47.91,8,8,47,5,1,1
30211,33,61.05,7,15,11,7,1,0
30212,41,78.96,26,16,25,7,1,0
30213,51,98.02,15,22,29,8,1,0
30214,42,15.26,4,2,32,8,0,0
30215,45,6.23,1,3,16,8,3,1
30216,58,43.95,8,16,11,9,0,0
30217,34,42.21,12,13,13,9,0,0
30218,45,9.82,6,2,41,4,1,1
30219,46,23.3,3,3,2,10,1,0
30220,56,97.11,25,17,14,8,0,0
30221,53,17.51,6,2,6,5,0,1
30222,35,38.08,12,8,27,5,1,0
30223,33,26.11,0,4,39,9,1,0
30224,34,73.46,15,21,19,9,2,0
30225,26,43.92,18,9,24,8,0,0
30226,55,88.67,18,20,45,9,0,0
30227,48,70.07,21,13,36,8,0,0
30228,44,85.09,19,30,23,9,0,0
30229,18,23.37,2,3,21,10,0,0
30230,38,14.48,6,2,30,9,0,0
30231,21,19.49,1,2,34,4,0,1
30232,56,40.01,7,8,11,9,0,0
30233,37,22.81,1,4,13,8,0,0
30234,18,18.95,5,5,35,7,2,0
30235,40,16.3,3,5,38,7,0,0
30236,46,88.8,18,17,46,8,0,0
30237,38,45.26,13,9,24,7,0,0
30238,43,20.01,6,1,30,8,0,0
30239,36,37.95,15,8,44,5,2,0
30240,42,15.17,3,1,46,6,2,0
30241,40,45.09,7,11,3,10,1,1
30242,29,42.86,17,4,15,8,4,1
30243,20,15.93,3,1,27,9,2,0
30244,39,43.41,6,10,12,8,1,0
30245,55,79.73,26,20,19,8,0,0
30246,45,55.64,10,7,10,8,1,0
30247,52,26.11,3,2,30,8,0,0
30248,27,37.91,10,6,23,7,3,1
30249,33,25.34,11,10,45,8,1,1
30250,39,15.22,4,2,17,7,2,0
30251,66,18.38,4,3,22,9,0,0
30252,37,79.51,22,16,1,7,2,0
30253,29,68.64,24,15,46,6,1,0
30254,37,40.89,9,12,29,8,2,0
30255,33,37.66,14,7,41,9,1,0
30256,48,14.03,3,6,15,7,1,1
30257,41,42.7,11,7,19,7,1,0
30258,43,17.21,1,2,40,6,0,0
30259,25,9.87,1,3,44,6,1,0
30260,36,52.74,11,7,32,7,0,0
30261,55,42.35,10,8,11,5,1,1
30262,48,67.94,11,16,34,7,0,0
30263,21,39.2,16,10,3,7,0,1
30264,44,18.02,4,5,35,5,1,1
30265,41,47.06,10,5,30,7,0,0
30266,57,43.4,8,10,41,6,1,0
30267,43,13.44,4,2,42,6,1,1
30268,53,50.59,13,10,30,9,1,0
30269,33,18.72,8,0,24,7,2,1
30270,41,15.5,4,3,45,4,3,1
30271,52,19.69,4,3,15,8,0,0
30272,27,10.96,5,4,8,9,1,1
30273,53,20.24,3,1,46,8,0,0
30274,37,44.28,11,10,39,3,0,1
30275,34,51.09,8,12,7,8,1,0
30276,42,54.88,13,8,11,7,0,0
30277,32,20.66,3,3,29,7,0,0
30278,34,47.7,16,11,26,9,2,0
30279,31,16.52,5,4,32,7,1,0
30280,36,52.31,12,11,5,6,2,0
30281,51,88.84,13,15,16,6,5,0
30282,50,86.33,25,14,1,10,0,0
30283,49,36.42,7,12,40,6,0,0
30284,48,45.12,15,8,38,4,1,0
30285,52,25.14,7,2,35,5,0,1
30286,37,19.23,1,3,48,10,0,0
30287,48,41.9,9,9,4,10,2,0
30288,38,14.59,6,4,11,6,0,0
30289,37,22.27,3,4,19,10,1,1
30290,23,18.06,6,2,43,8,0,0
30291,40,74.62,19,16,35,5,1,0
30292,33,47.05,9,6,47,8,1,0
30293,51,90.97,17,9,30,7,1,0
30294,57,42.77,11,8,31,7,1,0
30295,29,24.22,9,3,36,9,1,0
30296,32,16.75,2,2,44,9,1,0
30297,49,72.93,20,21,15,7,0,0
30298,25,15.31,5,1,7,7,2,1
30299,47,42.75,11,9,19,3,1,1
30300,36,88.89,16,12,22,7,0,0
30301,42,40.47,8,4,9,4,0,1
30302,53,78.57,21,20,3,8,0,0
30303,22,12.44,4,2,30,5,0,1
30304,49,77.52,19,11,15,7,1,0
30305,49,52.52,6,6,15,7,2,0
30306,39,35.1,8,10,42,8,1,0
30307,26,16.57,2,1,33,6,0,1
30308,43,12.42,5,3,20,6,2,1
30309,36,50.59,10,8,33,5,0,0
30310,46,19.21,1,3,20,10,1,0
30311,38,80.61,20,15,13,8,0,0
30312,20,88.67,20,19,33,6,1,0
30313,49,74.9,9,12,16,5,1,1
30314,42,69.82,16,16,35,8,1,0
30315,32,55.55,10,5,6,6,0,0
30316,22,77.73,16,22,21,7,3,0
30317,37,18.01,4,2,30,6,0,0
30318,43,49.85,16,8,16,9,0,0
30319,39,17.4,9,3,38,9,0,0
30320,33,16.55,3,3,5,5,1,0
30321,37,45.14,11,6,4,7,0,1
30322,31,39.13,8,10,19,7,0,0
30323,26,57.35,15,8,12,6,0,0
30324,58,37.48,8,5,32,5,1,1
30325,31,13.36,3,1,43,4,1,1
30326,29,16.58,4,3,28,5,0,0
30327,19,83.02,12,20,29,5,2,0
30328,33,11.41,4,5,23,8,0,0
30329,41,69.09,21,21,43,9,2,0
30330,40,22.1,4,3,27,8,0,0
30331,54,20.35,4,3,37,7,0,0
30332,50,72.11,24,14,43,9,0,0
30333,36,17.65,3,0,35,8,1,0
30334,29,36.55,14,11,36,7,3,0
30335,41,20.05,3,5,44,7,0,0
30336,35,15.95,5,5,11,10,2,0
30337,33,45.26,14,8,27,6,1,0
30338,46,34.59,17,8,6,8,1,1
30339,38,19.43,4,4,10,6,1,0
30340,32,16.53,5,3,40,5,0,1
30341,34,59.61,10,9,34,6,0,0
30342,34,34.42,11,9,13,10,1,0
30343,58,62.16,15,20,3,5,0,0
30344,23,66.01,22,13,16,6,1,0
30345,42,17.77,3,3,29,10,0,0
30346,36,7.78,5,2,6,8,0,1
30347,25,14.72,5,6,45,5,1,0
30348,34,25.77,2,4,33,8,0,0
30349,18,76.38,13,14,3,8,1,0
30350,38,36.24,15,10,1,7,0,1
30351,21,41.34,17,8,19,8,0,0
30352,49,42.39,10,6,18,6,0,1
30353,41,16.48,3,2,24,7,5,1
30354,55,20.83,6,5,29,8,0,0
30355,40,26.13,2,2,18,7,2,1
30356,42,15.1,2,3,28,5,2,1
30357,69,45.8,9,17,13,8,1,0
30358,48,71.69,18,14,16,7,1,0
30359,57,42.42,9,7,10,8,2,1
30360,42,66.52,24,17,19,6,0,1
30361,41,52.4,10,9,26,6,1,0
30362,28,44.9,12,11,19,8,0,0
30363,27,18.12,5,2,26,5,0,0
30364,36,60.26,14,6,31,10,3,0
30365,45,18.37,3,1,29,6,1,1
30366,36,51.67,11,8,1,6,1,0
30367,33,53.92,8,12,10,5,0,1
30368,41,57.91,11,8,27,6,1,0
30369,42,32.69,18,10,19,9,0,0
30370,27,22.48,5,3,18,8,1,0
30371,31,49.29,11,2,39,5,0,0
30372,42,33.68,11,12,35,6,1,0
30373,50,48.03,11,8,16,4,2,1
30374,25,19.45,2,2,44,7,1,0
30375,21,80.68,16,19,32,10,1,0
30376,39,12.13,6,1,34,7,1,0
30377,34,37.41,15,9,12,7,1,0
30378,60,43.56,12,11,35,9,1,0
30379,36,17.69,1,4,21,9,0,1
30380,50,19.96,6,3,25,5,1,0
30381,52,78.69,12,13,23,5,0,0
30382,37,15.31,1,4,32,7,2,1
30383,37,99.16,16,21,40,10,2,0
30384,53,47.14,11,12,5,6,0,0
30385,40,45.2,16,9,25,7,0,0
30386,41,75.75,15,17,45,7,1,0
30387,32,51.14,11,8,11,5,0,1
30388,22,20.0,2,4,28,9,0,0
30389,25,29.8,13,13,4,5,0,0
30390,40,43.39,12,9,44,8,2,0
30391,43,50.06,11,6,43,5,0,0
30392,49,44.24,8,12,2,6,0,1
30393,44,15.22,4,1,9,8,1,0
30394,24,13.87,0,5,22,7,0,0
30395,26,71.36,19,11,20,6,3,0
30396,52,12.15,3,5,42,6,0,0
30397,18,32.7,11,11,3,6,0,0
30398,25,21.35,9,1,42,2,2,0
30399,43,49.08,18,5,28,6,0,0
30400,35,46.73,11,7,3,8,0,0
30401,29,81.8,18,14,42,5,0,0
30402,50,96.61,16,22,45,5,0,0
30403,33,15.64,6,4,28,6,0,0
30404,46,18.88,1,2,28,6,1,1
30405,57,11.76,3,3,15,8,0,0
30406,48,17.87,3,4,47,8,0,0
30407,41,47.25,10,12,9,5,0,0
30408,25,18.83,2,2,41,6,1,0
30409,50,17.63,4,4,3,10,1,0
30410,39,39.37,9,7,16,6,2,0
30411,51,16.94,3,6,8,8,1,0
30412,32,39.79,11,13,47,7,0,0
30413,35,14.95,2,4,17,5,2,0
30414,30,91.39,19,18,36,9,1,0
30415,28,31.13,5,8,37,8,2,0
30416,24,18.2,2,2,24,7,1,0
30417,31,14.18,1,5,41,8,4,0
30418,40,14.93,4,3,30,8,1,0
30419,29,20.56,1,6,8,10,0,0
30420,46,62.09,13,21,18,6,2,0
30421,49,48.64,16,7,13,5,0,1
30422,62,35.14,8,9,26,10,1,0
30423,52,35.25,17,9,35,7,2,1
30424,34,15.41,5,5,44,10,1,0
30425,37,18.87,6,2,30,8,1,1
30426,51,20.57,7,1,48,10,1,0
30427,38,20.8,6,6,11,9,2,1
30428,46,43.55,10,3,22,9,2,0
30429,37,22.54,1,3,23,7,1,0
30430,54,95.14,22,16,33,7,3,0
30431,32,33.42,11,16,6,5,1,0
30432,39,87.95,15,21,5,4,1,0
30433,30,75.94,27,17,35,10,2,0
30434,54,75.49,16,12,31,8,2,0
30435,25,17.69,2,0,27,8,1,0
30436,19,41.84,12,7,7,5,1,0
30437,32,17.52,5,2,38,9,1,1
30438,30,39.09,6,4,32,7,2,1
30439,42,72.99,23,16,47,8,0,0
30440,38,42.87,9,6,33,8,1,0
30441,39,82.23,20,23,40,6,0,0
30442,38,48.89,14,9,5,5,0,1
30443,29,42.75,11,7,2,7,0,0
30444,48,17.03,9,7,17,7,0,0
30445,57,19.63,4,3,5,9,1,0
30446,45,15.98,5,3,29,6,0,0
30447,50,43.02,9,10,37,7,1,0
30448,23,75.55,21,13,2,5,3,1
30449,61,41.08,8,10,22,7,1,0
30450,46,8.05,0,2,6,8,1,0
30451,67,43.72,12,10,23,7,2,0
30452,44,36.86,7,8,32,5,0,0
30453,36,34.78,11,6,14,7,0,0
30454,45,23.41,2,0,45,9,1,0
30455,35,65.19,21,15,3,7,1,0
30456,62,36.02,10,5,5,8,2,1
30457,35,67.57,23,15,22,7,1,0
30458,41,20.37,1,1,43,9,0,0
30459,54,18.24,3,1,46,5,1,1
30460,36,13.16,4,2,48,8,0,0
30461,38,78.43,17,22,7,5,2,0
30462,37,48.53,10,7,28,7,3,0
30463,18,49.33,15,12,38,5,0,0
30464,40,89.0,16,19,22,8,0,0
30465,50,41.97,14,9,16,7,1,1
30466,28,37.03,19,6,6,8,1,1
30467,47,48.25,6,10,46,5,2,0
30468,28,12.77,1,4,24,9,0,0
30469,36,47.4,10,11,29,8,1,0
30470,18,20.94,3,6,20,8,1,0
30471,52,82.1,11,17,5,8,0,0
30472,52,42.8,10,9,26,8,0,0
30473,38,19.36,1,2,28,8,1,0
30474,38,39.63,14,14,39,8,1,0
30475,18,44.39,12,4,40,5,2,1
30476,35,11.82,2,0,38,6,2,1
30477,25,17.47,1,4,34,7,1,0
30478,39,69.42,19,16,24,10,1,0
30479,33,80.22,15,15,14,9,0,0
30480,47,45.51,11,7,36,8,0,0
30481,59,44.71,10,4,28,7,0,0
30482,46,77.6,20,22,10,3,1,0
30483,38,41.89,11,10,19,9,0,0
30484,23,43.38,13,7,21,9,0,0
30485,26,19.48,2,2,37,7,1,0
30486,23,12.88,3,1,41,8,1,1
30487,39,15.98,1,5,37,7,0,0
30488,34,21.21,4,3,6,5,2,1
30489,47,52.34,7,10,19,8,0,0
30490,35,19.96,4,2,29,7,0,0
30491,59,20.6,6,2,29,6,2,1
30492,33,33.7,8,8,8,7,0,0
30493,33,35.81,18,9,7,8,1,0
30494,34,93.19,23,22,29,6,2,0
30495,24,29.14,14,7,31,8,1,0
30496,30,48.31,9,13,40,6,0,0
30497,42,40.94,9,10,36,9,1,0
30498,38,14.75,5,1,7,5,0,1
30499,40,18.99,6,1,2,10,0,1
30500,27,50.38,8,9,15,5,0,1
30501,35,15.47,5,5,32,10,1,0
30502,39,41.1,12,10,4,9,0,0
30503,50,15.02,6,4,40,8,2,0
30504,18,44.47,14,12,24,8,2,0
30505,45,20.19,3,5,43,8,2,0
30506,34,23.62,9,8,14,7,0,0
30507,56,19.59,4,6,18,3,2,1
30508,41,39.5,7,9,41,9,1,0
30509,53,85.52,12,20,7,7,0,0
30510,25,42.39,5,7,31,6,0,0
30511,32,31.95,14,7,1,8,0,1
30512,32,9.58,6,3,31,10,0,0
30513,22,87.85,17,15,39,5,1,0
30514,51,20.28,4,2,22,8,3,0
30515,28,18.69,4,3,17,7,0,0
30516,50,80.76,20,22,11,7,0,0
30517,56,21.35,5,2,21,9,0,0
30518,46,17.42,5,3,32,6,0,0
30519,65,41.57,10,10,32,6,0,0
30520,49,22.74,10,10,45,6,3,1
30521,30,48.83,16,6,4,3,2,0
30522,36,15.45,5,7,6,7,0,0
30523,37,13.81,4,1,44,9,1,0
30524,40,85.75,20,17,11,7,1,1
30525,31,33.92,5,10,3,9,1,1
30526,56,48.35,12,13,29,9,1,0
30527,42,47.98,6,8,29,6,1,1
30528,44,33.49,6,9,6,10,0,0
30529,55,36.88,16,3,9,6,1,1
30530,22,44.2,11,8,7,7,1,0
30531,35,45.63,10,13,22,2,0,1
30532,50,17.9,4,0,12,3,2,1
30533,30,46.78,13,8,16,10,0,0
30534,51,43.13,13,14,11,8,2,1
30535,55,21.65,4,1,14,2,0,1
30536,43,68.08,11,19,6,5,0,0
30537,38,40.49,10,7,31,5,1,0
30538,40,18.53,5,2,26,10,0,0
30539,36,17.45,3,5,28,5,2,1
30540,33,45.62,13,13,4,6,1,0
30541,50,23.51,6,4,37,10,3,0
30542,47,44.79,12,10,42,9,0,0
30543,50,18.51,2,0,9,6,1,1
30544,39,34.35,12,8,20,5,1,0
30545,39,13.6,2,2,36,6,0,0
30546,37,81.94,18,18,19,6,2,0
30547,44,84.43,16,25,23,10,0,0
30548,31,42.71,11,11,13,7,1,0
30549,24,21.29,6,4,20,7,0,0
30550,42,44.3,11,11,45,7,2,0
30551,47,16.88,6,5,17,9,1,0
30552,20,45.01,16,7,8,8,3,1
30553,35,19.99,4,2,13,6,1,0
30554,53,11.56,4,2,30,8,1,0
30555,45,33.22,10,5,37,5,0,0
30556,47,7.88,8,4,45,5,0,0
30557,47,45.76,9,6,41,5,0,0
30558,36,14.43,3,4,12,7,0,0
30559,37,15.72,4,1,28,8,2,1
30560,24,46.25,11,7,33,8,2,0
30561,28,97.33,21,25,10,6,0,0
30562,60,50.09,12,6,9,9,1,0
30563,41,19.11,1,4,43,10,1,0
30564,48,16.46,4,4,2,6,1,0
30565,38,14.16,3,3,36,7,2,1
30566,33,17.17,3,2,48,10,0,0
30567,35,75.1,11,16,12,10,1,0
30568,43,15.26,1,1,30,4,1,0
30569,37,76.15,13,21,40,7,4,0
30570,47,78.18,27,26,32,8,0,0
30571,43,29.57,13,8,7,7,2,1
30572,47,17.24,2,0,46,9,1,0
30573,51,10.29,5,4,46,9,0,0
30574,27,19.35,3,1,12,8,0,0
30575,63,39.91,14,9,34,4,1,0
30576,30,19.29,2,1,47,8,5,0
30577,18,31.32,11,9,38,7,1,0
30578,52,87.56,18,15,33,8,1,0
30579,42,16.63,6,3,14,6,0,1
30580,29,16.96,4,3,7,9,0,0
30581,49,81.3,20,23,15,10,0,0
30582,29,95.48,20,7,23,6,0,0
30583,47,38.24,10,4,1,8,0,1
30584,33,16.6,2,3,5,6,1,1
30585,35,40.9,9,7,20,6,0,1
30586,36,46.8,14,7,34,5,0,1
30587,40,14.27,5,3,4,7,1,1
30588,25,51.08,10,11,16,8,4,0
30589,26,39.57,12,17,46,7,1,0
30590,33,19.31,5,0,44,7,1,1
30591,35,21.19,3,4,36,5,2,0
30592,38,20.49,5,2,39,7,1,0
30593,19,74.02,15,19,4,9,1,0
30594,27,70.73,19,22,24,8,1,0
30595,32,23.58,4,2,45,8,2,0
30596,43,14.11,2,3,30,8,1,0
30597,36,42.82,13,8,7,7,3,0
30598,36,16.44,6,3,7,8,1,0
30599,25,12.6,1,1,23,7,1,0
30600,35,17.22,2,1,10,7,0,1
30601,51,78.08,24,17,46,10,0,0
30602,37,14.35,3,2,25,7,1,0
30603,42,17.82,3,3,36,6,3,0
30604,40,67.61,12,21,9,7,0,0
30605,50,21.49,3,4,34,9,1,0
30606,25,82.78,17,13,38,10,2,0
30607,29,37.14,14,12,43,5,0,1
30608,57,47.61,13,5,14,8,0,0
30609,41,37.92,14,6,28,4,0,1
30610,46,83.54,21,26,3,7,1,0
30611,49,35.81,14,11,15,8,1,0
30612,46,44.29,7,13,6,8,0,0
30613,37,30.68,13,8,34,7,2,1
30614,22,43.8,11,12,30,7,0,0
30615,43,7.76,4,2,36,6,0,0
30616,42,17.35,5,4,41,10,1,0
30617,49,19.1,1,2,28,5,2,1
30618,29,13.78,4,5,44,6,0,0
30619,30,34.78,13,7,42,7,0,0
30620,34,37.44,11,7,9,10,1,0
30621,22,20.3,5,1,6,9,0,0
30622,33,41.97,8,5,22,6,0,0
30623,39,82.15,24,22,45,5,0,0
30624,28,21.97,2,4,23,6,0,0
30625,37,42.94,11,4,27,4,1,0
30626,45,20.18,6,4,6,8,1,0
30627,37,34.84,6,7,2,6,1,1
30628,57,46.28,12,10,42,7,5,0
30629,18,51.19,6,5,47,9,1,0
30630,53,19.34,3,2,14,7,1,0
30631,26,21.21,0,1,17,7,0,0
30632,44,43.2,14,8,14,5,3,1
30633,25,50.51,8,5,23,7,0,1
30634,23,25.79,1,8,20,7,0,1
30635,46,17.33,2,2,11,7,0,1
30636,44,50.22,9,7,42,7,1,0
30637,38,47.08,7,7,3,7,0,0
30638,53,44.72,9,9,15,8,2,0
30639,26,52.52,17,8,41,9,1,0
30640,53,44.25,10,5,20,7,0,0
30641,26,41.37,16,10,33,7,2,1
30642,64,12.84,6,3,39,7,5,1
30643,45,24.66,6,4,11,9,2,1
30644,24,14.99,4,3,30,8,2,0
30645,37,20.06,2,2,16,7,0,0
30646,53,47.9,14,13,22,8,1,0
30647,56,47.01,9,8,39,8,2,0
30648,31,50.03,12,7,43,6,3,1
30649,56,49.08,11,6,6,7,0,1
30650,38,17.56,3,2,44,6,0,0
30651,26,64.83,27,14,10,6,2,1
30652,26,18.35,2,6,6,7,0,0
30653,31,18.36,5,6,20,7,1,0
30654,35,72.64,12,18,9,9,1,0
30655,44,41.42,11,5,47,9,0,0
30656,36,38.87,16,4,32,7,2,1
30657,46,30.24,10,11,31,6,1,0
30658,26,19.44,3,2,10,7,4,1
30659,55,52.13,7,12,11,10,1,0
30660,37,101.19,23,16,33,6,4,0
30661,47,42.0,12,6,16,7,0,0
30662,51,19.6,5,1,38,6,0,0
